id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
230,115,231,1943,1443,82138,1000,1,1000,144

231,115,230,1443,1943,777685,0,1,1000,144

232,116,233,1453,2269,692771,1000,1,1000,144

233,116,232,2269,1453,164841,1000,1,1000,144

234,117,235,1453,844,54058,1000,1,1000,144

235,117,234,844,1453,1196631,1000,1,1000,144

236,118,237,1453,1431,878836,1000,1,1000,144

237,118,236,1431,1453,17403,0,1,1000,144

238,119,239,3054,1453,638734,500,1,1000,144

239,119,238,1453,3054,381104,1000,1,1000,144

240,120,241,752,1443,238612,1000,1,1000,40

241,120,240,1443,752,253465,0,1,1000,144

242,121,243,2882,1443,545352,1000,1,1000,40

243,121,242,1443,2882,908203,0,1,1000,144

244,122,245,1453,3388,341941,1000,1,1000,40

245,122,244,3388,1453,398339,1000,1,1000,40

246,123,247,1453,669,463978,1000,1,1000,40

247,123,246,669,1453,893356,1000,1,1000,40

248,124,249,844,1443,932697,1000,1,1000,40

249,124,248,1443,844,234859,0,1,1000,144

250,125,251,1453,4497,371320,1000,1,1000,40

251,125,250,4497,1453,466179,1000,1,1000,40

252,126,253,1453,6028,457304,1000,1,1000,40

253,126,252,6028,1453,656661,1000,1,1000,40

254,127,255,1453,5924,798340,1000,1,1000,40

255,127,254,5924,1453,26823,1000,1,1000,40

256,128,257,1424,2852,932507,0,1000,1000,30

257,128,256,2852,1424,144963,1000,50,1000,40

258,129,259,1635,2852,162504,1000,1,1000,40

259,129,258,2852,1635,446340,1000,50,1000,40

260,130,261,971,2852,67518,0,0,1000,144

261,130,260,2852,971,933521,1000,50,1,40

262,131,263,1275,2852,352753,1000,1,1000,40

263,131,262,2852,1275,1139042,1000,50,1000,40

264,132,265,1635,2852,200293,1000,1,1000,40

265,132,264,2852,1635,735606,1000,50,1000,40

266,133,267,844,1374,174308,1000,1,1000,144

267,133,266,1374,844,575471,3,101,1000,144

268,134,269,1374,3388,568125,3,101,1000,144

269,134,268,3388,1374,327347,1000,1,1000,40

270,135,271,3156,1374,320312,1000,1,1000,40

271,135,270,1374,3156,563853,3,101,1000,144

272,136,273,1374,3516,181739,3,101,1000,144

273,136,272,3516,1374,315197,5000,1000000,1000,144

274,137,275,1870,1374,164771,210,109,1000,14

275,137,274,1374,1870,852238,3,101,1000,144

276,138,277,1437,3997,307617,1000,1,1,40

277,138,276,3997,1437,741725,1000,1,1000,144

278,139,279,1048,2232,27963,166,1,1000,6

279,139,278,2232,1048,1039495,2000,200,1000,144

280,140,281,3540,5253,20031,0,1,1000,1

281,140,280,5253,3540,1222735,1000,1,1000,40

282,141,283,3540,5256,599833,0,1,1000,1

283,141,282,5256,3540,171992,1000,1,1000,40

284,142,285,3540,5258,471250,0,1,1000,1

285,142,284,5258,3540,191551,1000,1,1000,40

286,143,287,3540,5257,1202293,0,1,1000,1

287,143,286,5257,3540,176986,1000,1,1000,40

288,144,289,5280,3540,1064684,1000,1,1000,40

289,144,288,3540,5280,46087,0,1,1000,1

290,145,291,3540,5433,842006,0,1,1000,1

291,145,290,5433,3540,122625,1000,1,1000,40

292,146,293,3540,5434,861095,0,1,1000,1

293,146,292,5434,3540,65049,1000,1,1000,40

294,147,295,5435,3540,744187,1000,1,1000,40

295,147,294,3540,5435,47477,0,1,1000,1

296,148,297,3540,5436,1009335,0,1,1000,1

297,148,296,5436,3540,183656,1000,1,1000,40

298,149,299,5411,3540,458628,1000,1,1000,40

299,149,298,3540,5411,310255,0,1,1000,1

300,150,301,3540,5412,413292,0,1,1000,1

301,150,300,5412,3540,159782,1000,1,1000,40

302,151,303,3540,5421,43752,0,1,1000,1

303,151,302,5421,3540,472066,1000,1,1000,40

304,152,305,3540,5423,743199,0,1,1000,1

305,152,304,5423,3540,106051,1000,1,1000,40

306,153,307,5424,3540,502280,1000,1,1000,40

307,153,306,3540,5424,427938,0,1,1000,1

308,154,309,3540,5422,233199,0,1,1000,1

309,154,308,5422,3540,801111,1000,1,1000,40

310,155,311,3540,5427,684989,0,1,1000,1

311,155,310,5427,3540,351380,1000,1,1000,40

312,156,313,3540,5425,374298,0,1,1000,1

313,156,312,5425,3540,519812,1000,1,1000,40

314,157,315,3540,5426,910373,0,1,1000,1

315,157,314,5426,3540,66055,1000,1,1000,40

316,158,317,5960,3540,990185,0,1,1000,40

317,158,316,3540,5960,54036,1000,1,1000,40

318,159,319,5042,6034,514669,1000,1,1000,40

319,159,318,6034,5042,513516,1000,1,1000,40

320,160,321,4126,2070,221836,500,10,1000,40

321,160,320,2070,4126,239469,10000,2500,1,4

322,161,323,4126,1124,256173,500,10,1000,40

323,161,322,1124,4126,1035246,1000,1,1000,40

